
timestamp,event_id,username,source_ip,computer,event_type,details
2026-08-12 07:51:14,4624,jbrown,10.0.0.21,WS-104,Logon,"Successful authentication"
2026-08-12 07:56:32,4624,agarcia,10.0.0.34,WS-112,Logon,"Successful authentication"
2026-08-12 08:03:07,4624,jsmith,10.0.0.18,WS-107,Logon,"Successful authentication"
2026-08-12 08:17:44,4688,jbrown,10.0.0.21,WS-104,Process Creation,"outlook.exe"
2026-08-12 08:22:19,4688,agarcia,10.0.0.34,WS-112,Process Creation,"chrome.exe"
2026-08-12 08:31:52,4625,jsmith,10.0.0.18,WS-107,Logon,"Failed authentication"
2026-08-12 08:32:08,4624,jsmith,10.0.0.18,WS-107,Logon,"Successful authentication"
2026-08-12 08:44:27,4688,jsmith,10.0.0.18,WS-107,Process Creation,"outlook.exe"
2026-08-12 09:02:11,4625,agarcia,10.0.0.34,WS-112,Logon,"Failed authentication"
2026-08-12 09:02:29,4624,agarcia,10.0.0.34,WS-112,Logon,"Successful authentication"
2026-08-12 09:18:43,4688,jbrown,10.0.0.21,WS-104,Process Creation,"chrome.exe"
2026-08-12 09:41:06,4625,jbrown,45.83.64.17,WS-104,Logon,"Failed authentication"
2026-08-12 09:41:08,4625,agarcia,45.83.64.17,WS-112,Logon,"Failed authentication"
2026-08-12 09:41:10,4625,jsmith,45.83.64.17,WS-107,Logon,"Failed authentication"
2026-08-12 09:41:12,4625,administrator,45.83.64.17,SRV-02,Logon,"Failed authentication"
2026-08-12 09:41:14,4625,svc_backup,45.83.64.17,SRV-02,Logon,"Failed authentication"
2026-08-12 09:41:17,4625,helpdesk,45.83.64.17,WS-120,Logon,"Failed authentication"
2026-08-12 09:41:20,4625,jbrown,45.83.64.17,WS-104,Logon,"Failed authentication"
2026-08-12 09:41:22,4625,agarcia,45.83.64.17,WS-112,Logon,"Failed authentication"
2026-08-12 09:41:24,4625,jsmith,45.83.64.17,WS-107,Logon,"Failed authentication"
2026-08-12 09:41:26,4625,administrator,45.83.64.17,SRV-02,Logon,"Failed authentication"
2026-08-12 09:41:28,4625,svc_backup,45.83.64.17,SRV-02,Logon,"Failed authentication"
2026-08-12 09:41:31,4624,helpdesk,45.83.64.17,WS-120,Logon,"Successful authentication"
2026-08-12 09:42:04,4688,helpdesk,45.83.64.17,WS-120,Process Creation,"cmd.exe /c whoami"
2026-08-12 09:42:21,4688,helpdesk,45.83.64.17,WS-120,Process Creation,"cmd.exe /c hostname"
2026-08-12 09:42:39,4688,helpdesk,45.83.64.17,WS-120,Process Creation,"cmd.exe /c net user"
2026-08-12 09:43:02,4688,helpdesk,45.83.64.17,WS-120,Process Creation,"cmd.exe /c net localgroup administrators"
2026-08-12 09:44:18,4688,helpdesk,45.83.64.17,WS-120,Process Creation,"powershell.exe Get-ChildItem C:\Users"
2026-08-12 10:02:53,4688,jbrown,10.0.0.21,WS-104,Process Creation,"excel.exe"
2026-08-12 10:18:11,4688,agarcia,10.0.0.34,WS-112,Process Creation,"outlook.exe"
2026-08-12 10:37:42,4688,jsmith,10.0.0.18,WS-107,Process Creation,"chrome.exe"
2026-08-12 11:06:19,4624,jbrown,10.0.0.21,WS-104,Logon,"Successful authentication"
2026-08-12 11:28:47,4688,agarcia,10.0.0.34,WS-112,Process Creation,"excel.exe"
2026-08-12 12:04:13,4688,jsmith,10.0.0.18,WS-107,Process Creation,"winword.exe"
