timestamp,event_id,username,source_ip,computer,status
2026-08-10 08:02:14,4624,jbrown,10.0.0.21,WS-104,Success
2026-08-10 08:07:32,4624,agarcia,10.0.0.34,WS-112,Success
2026-08-10 08:15:07,4624,jsmith,10.0.0.18,WS-107,Success
2026-08-10 08:31:44,4625,jbrown,10.0.0.21,WS-104,Failure
2026-08-10 08:32:01,4624,jbrown,10.0.0.21,WS-104,Success
2026-08-10 09:04:17,4625,admin,185.220.101.44,SRV-01,Failure
2026-08-10 09:04:21,4625,admin,185.220.101.44,SRV-01,Failure
2026-08-10 09:04:26,4625,admin,185.220.101.44,SRV-01,Failure
2026-08-10 09:04:31,4625,admin,185.220.101.44,SRV-01,Failure
2026-08-10 09:04:37,4625,admin,185.220.101.44,SRV-01,Failure
2026-08-10 09:04:44,4624,admin,185.220.101.44,SRV-01,Success
2026-08-10 09:18:03,4624,agarcia,10.0.0.34,WS-112,Success
2026-08-10 10:22:51,4625,jsmith,10.0.0.18,WS-107,Failure
2026-08-10 10:23:09,4624,jsmith,10.0.0.18,WS-107,Success
2026-08-10 11:41:28,4624,jbrown,10.0.0.21,WS-104,Success
2026-08-10 12:06:19,4625,agarcia,10.0.0.34,WS-112,Failure
2026-08-10 12:06:37,4624,agarcia,10.0.0.34,WS-112,Success
2026-08-10 13:27:42,4624,jsmith,10.0.0.18,WS-107,Success
2026-08-10 14:11:05,4624,jbrown,10.0.0.21,WS-104,Success
2026-08-10 15:03:54,4624,agarcia,10.0.0.34,WS-112,Success
